FID,objectid,mp_id,name,adresse,anz_stellpl_cs,anz_stellpl_taxi,anzahl_ladepunkte_ac,anzahl_ladepunkte_dc,gaf_ts_vorhanden,gaf_bs_vorhanden,gaf_ls_vorhanden,gaf_ms_vorhanden,ods_vorhanden,bus_vorhanden,tram_vorhanden,u_bahn_vorhanden,s_bahn_vorhanden,radservicestation_vorhanden,radpumpe_vorhanden,bearbeitung_datum,shape
ruhver_mp_standort_point.11,69,39,Gronsdorf Bahnhof,Drosselweg 43,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,20260226,POINT (700782.6261010553 5332927.242297274)
ruhver_mp_standort_point.12,130,404,Bonner Platz,Karl-Theodort-Straße 55,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,20260226,POINT (691690.0944008383 5338104.665897958)
ruhver_mp_standort_point.13,157,1905,Fürstenried West,Schweizer Platz 2 / Graubündener Straße 9,4,Nein,0,0,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (684717.9080006985 5329113.05179837)
ruhver_mp_standort_point.14,143,2505,Friedenheimer Straße,Zschokkestraße / Burgkmairstraße,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,20260219,POINT (686900.54540074 5334348.421998251)
ruhver_mp_standort_point.15,25,34,Marianne-Brandt-Straße,"Marianne-Brandt-Straße 3 - 7
",9,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (692796.1257008619 5339639.724897882)
ruhver_mp_standort_point.16,112,1103,Milbertshofen,Keferloherstraße 101,4,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (691191.7836008271 5339710.0645979885)
ruhver_mp_standort_point.17,138,1407,Innsbrucker Ring,Echardinger Str. 65,8,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (695147.3309009176 5333004.795797731)
ruhver_mp_standort_point.18,20,28,Steubenplatz,Wendel-Dietrich-Straße 31 - 33,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,20260219,POINT (687463.027900751 5336171.415598216)
ruhver_mp_standort_point.19,137,1406,Isareckstraße,Schlüsselbergstraße 16,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (695089.5911009155 5333857.304597734)
ruhver_mp_standort_point.20,44,15,Jean-Paul-Richter-Straße,Jean-Paul-Richter-Straße,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (688017.3526007625 5331801.369898192)
